layer,index,singular_value
6,127,0.7420360250963935
6,128,0.0
7,1,5378.350689171472
7,2,935.3918684730985
7,3,816.5053805732324
7,4,732.6537620929602
7,5,684.8872554708104
7,6,643.5726996908298
7,7,598.9620849970512
7,8,583.1573969930644
7,9,502.6414345609535
7,10,474.02926026867607
7,11,420.248911687784
7,12,384.6234660929848
7,13,372.0794758765867
7,14,368.97245873456944
7,15,363.42279163598266
7,16,342.04958434347515
7,17,315.1163645186396
7,18,301.3266164663715
7,19,298.0710870766204
7,20,273.64604450959183
7,21,265.244588718977
7,22,253.4399606295212
7,23,249.71009018361914
7,24,242.48641813543168
7,25,235.0297659747609
7,26,228.41624833981507
7,27,210.88660229215802
7,28,207.60284226634914
7,29,201.22033331740886
7,30,199.06614685448062
7,31,191.19412962918707
7,32,185.82766814929053
7,33,179.12299917404394
7,34,177.0885176187293
7,35,171.4046750109682
7,36,164.6930513036204
7,37,163.2601191352693
7,38,160.60288640208
7,39,150.53870281992758
7,40,146.87633736298693
7,41,146.1404918856567
7,42,142.910137129119
7,43,142.25757191759212
7,44,139.37672254929498
7,45,134.59965862750698
7,46,131.68415913388043
7,47,129.43223746038583
7,48,127.05557991539301
7,49,126.96702968001316
7,50,125.20131448922014
7,51,122.36076285930184
7,52,120.2377591742198
7,53,119.19583314296496
7,54,115.4472801609026
7,55,114.37643143065829
7,56,113.00367174903275
7,57,108.8727045919645
7,58,107.21966810505464
7,59,106.17976855049743
7,60,105.93055797237355
7,61,103.90851331291469
7,62,101.02409555162359
7,63,100.52355642067823
7,64,97.1103911381982
7,65,95.36728842933961
7,66,93.79941568140512
7,67,93.09519608177006
7,68,92.12054083646437
7,69,90.44930734227965
7,70,88.85845224368093
7,71,88.11067225865168
7,72,85.50729682709205
7,73,84.37343908561236
7,74,83.59890409079041
7,75,82.31932979136954
7,76,80.57362730469461
7,77,79.14338300688019
7,78,78.32590997797293
7,79,77.3034363790203
7,80,76.5842909726349
7,81,75.36301150518705
7,82,73.41965518268681
7,83,72.97401799266649
7,84,71.23609931862498
7,85,70.19617768228042
7,86,69.78082850030728
7,87,68.99736609932172
7,88,68.11913217637793
7,89,67.1347608329317
7,90,65.72527768995785
7,91,64.41942834031862
7,92,63.45953676872114
7,93,62.93686804358288
7,94,61.33414166017575
7,95,60.12493628301589
7,96,59.13488273549107
7,97,57.708216450366365
7,98,54.79453019091745
7,99,53.814293540874765
7,100,53.078555226855435
7,101,52.521560065502754
7,102,51.548246489785214
7,103,47.84308523415791
7,104,47.661841670176344
7,105,45.593437118214446
7,106,44.82854207638909
7,107,41.4236603572112
7,108,38.27346944073748
7,109,32.52963175756717
7,110,22.519752815958434
7,111,21.668842195448406
7,112,19.323876162403877
7,113,17.74583621586147
7,114,16.89036716166548
7,115,13.675061368406414
7,116,11.534752788468461
7,117,11.500399161819974
7,118,10.68289096480894
7,119,10.06219011047119
7,120,9.322623121675699
7,121,7.9888837769786205
7,122,3.917618809156281
7,123,1.2606527470961346
7,124,0.45049374887591664
7,125,0.0
7,126,0.0
7,127,0.0
7,128,0.0
8,1,5500.059922238647
8,2,907.7977093882215
8,3,769.8764570950711
8,4,609.7565269043256
8,5,574.3531995516092
8,6,548.558250239636
8,7,511.4084664236455
8,8,497.3725914000169
8,9,429.686606826098
8,10,409.71727919759076
8,11,366.06507365123986
8,12,359.0854948100179
8,13,333.7179720451309
8,14,305.8029960428381
8,15,290.57731772583844
8,16,280.65257612084736
8,17,255.8477298361672
8,18,247.70371468011766
8,19,237.21736107550186
8,20,228.55358412375043
8,21,212.51918094657347
8,22,208.00335063416853
8,23,194.52638628881897
8,24,186.0487647512737
8,25,179.17911213575374
8,26,177.09991298053384
8,27,172.88744384702053
